Наименование иностранной валюты;Буквенный код валюты;Официальный курс
Азербайджанский манат;1 AZN;"
1,6096
"
Алжирский динар;100 DZD;"
1,9927
"
Аргентинское песо;10 ARS;"
0,1551
"
Афгани;100 AFN;"
3,0750
"
Бат;100 THB;"
7,8984
"
Вона;1000 KRW;"
2,1610
"
Гонконгский доллар;10 HKD;"
3,5101
"
Денар;100 MKD;"
4,7306
"
Египетский фунт;10 EGP;"
1,1063
"
Иорданский динар;1 JOD;"
3,8538
"
Иракcкий динар;1000 IQD;"
1,8749
"
Катарский риал;1 QAR;"
0,7489
"
Кенийский шиллинг;100 KES;"
2,2166
"
Колумбийское песо;10000 COP;"
5,7310
"
Лаосский кип;10000 LAK;"
1,5776
"
Лари;10 GEL;"
10,0974
"
Лек;100 ALL;"
2,5757
"
Ливанский фунт;1000 LBP;"
1,8098
"
Ливийcкий динар;1 LYD;"
0,5671
"
Малайзийский ринггит;10 MYR;"
6,1861
"
Марокканский дирхам;10 MAD;"
2,6147
"
Мексиканское песо;10 MXN;"
1,4114
"
Найра;1000 NGN;"
6,1266
"
Непальcкая рупия;100 NPR;"
2,0653
"
Новый израильский шекель;10 ILS;"
7,7708
"
Новый тайваньский доллар;100 TWD;"
8,9064
"
Новый туркменский манат;10 TMT;"
7,8295
"
Пакистанская рупия;100 PKR;"
1,2071
"
Румынский лей;10 RON;"
5,8959
"
Рупия;10000 IDR;"
1,7477
"
Рэнд;10 ZAR;"
1,6078
"
Саудовский риял;10 SAR;"
7,2777
"
Сербский динар;100 RSD;"
2,4847
"
Сирийский фунт;1000 SYP;"
1,0891
"
Соль;10 PEN;"
7,1773
"
Сомони;10 TJS;"
2,6854
"
Суверенный боливар;100 VES;"
16,0063
"
Суданский фунт;10 SDG;"
0,0483
"
Тугрик;1000 MNT;"
0,7959
"
Тунисский динар;10 TND;"
8,7110
"
Узбекский сум;10000 UZS;"
2,4442
"
Уругвайское песо;100 UYU;"
6,8316
"
Филиппинcкое песо;100 PHP;"
4,9016
"
Форинт;1000 HUF;"
7,2429
"
Чилийское песо;1000 CLP;"
3,1736
"
Шри-ланкийская рупия;100 LKR;"
0,7487
"
Эфиопский быр;100 ETB;"
5,1062
"
